iter	Passed	Remaining
0	20	2016
1	38	1881
2	56	1812
3	74	1796
4	92	1764
5	108	1694
6	124	1658
7	140	1616
8	156	1583
9	171	1544
10	187	1516
11	205	1503
12	225	1510
13	244	1499
14	260	1476
15	277	1458
16	295	1444
17	318	1451
18	336	1433
19	357	1431
20	376	1418
21	396	1406
22	419	1405
23	441	1399
24	463	1390
25	480	1367
26	496	1341
27	513	1320
28	530	1297
29	544	1271
30	560	1246
31	577	1226
32	598	1214
33	619	1201
34	641	1191
35	681	1210
36	705	1201
37	730	1192
38	752	1176
39	771	1156
40	788	1134
41	804	1111
42	820	1087
43	837	1066
44	886	1083
45	922	1083
46	959	1082
47	994	1077
48	1023	1065
49	1058	1058
50	1086	1043
51	1115	1029
52	1150	1020
53	1179	1004
54	1204	985
55	1238	972
56	1264	953
57	1288	932
58	1307	908
59	1330	886
60	1348	862
61	1369	839
62	1390	816
63	1408	792
64	1426	768
65	1446	745
66	1472	725
67	1499	705
68	1524	684
69	1546	662
70	1572	642
71	1596	620
72	1614	597
73	1641	576
74	1664	554
75	1688	533
76	1706	509
77	1727	487
78	1745	464
79	1765	441
80	1783	418
81	1805	396
82	1827	374
83	1845	351
84	1863	328
85	1883	306
86	1912	285
87	1931	263
88	1951	241
89	1970	218
90	1986	196
91	2004	174
92	2025	152
93	2041	130
94	2058	108
95	2073	86
96	2089	64
97	2107	43
98	2123	21
99	2139	0
